time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-09-04T20:15:04.564Z,-21.2686,168.559,10,5.4,mww,63,46,1.69,1.17,us,us7000i56w,2022-09-23T15:39:32.935Z,"76 km ENE of Tadine, New Caledonia",earthquake,7.04,1.804,0.062,25,reviewed,us,us
2022-09-04T19:53:59.197Z,32.2996,142.3781,10,5.2,mww,100,93,2.31,0.91,us,us7000i56h,2022-09-23T15:25:46.040Z,"Izu Islands, Japan region",earthquake,7.87,1.832,0.061,26,reviewed,us,us
2022-09-04T17:21:51.112Z,-3.3085,135.8008,10,4.5,mb,22,160,3.568,1.13,us,us7000i7e1,2022-09-18T16:51:22.040Z,"33 km E of Nabire, Indonesia",earthquake,11.02,1.974,0.136,20,reviewed,us,us
2022-09-04T14:58:22.340Z,32.3763,142.4687,10,5.2,mww,106,98,2.356,0.52,us,us7000i552,2022-09-12T16:42:04.040Z,"Izu Islands, Japan region",earthquake,8.85,1.837,0.075,17,reviewed,us,us
2022-09-04T14:51:12.326Z,-14.4711,-175.321,9.939,4.5,mb,14,90,2.718,0.75,us,us7000i7dv,2022-09-12T16:03:18.040Z,"160 km SE of Mata-Utu, Wallis and Futuna",earthquake,9.88,3.462,0.18,11,reviewed,us,us
2022-09-04T14:48:19.897Z,10.0226,126.2067,54.708,4.5,mb,68,108,2.999,0.87,us,us7000i555,2022-09-12T15:50:13.040Z,"Philippine Islands region",earthquake,8.06,5.948,0.071,61,reviewed,us,us
2022-09-04T14:11:10.458Z,32.4318,142.4585,10,4.7,mb,82,49,2.33,0.53,us,us7000i54w,2022-09-12T15:47:08.040Z,"Izu Islands, Japan region",earthquake,9.57,1.802,0.058,92,reviewed,us,us
2022-09-04T13:25:27.531Z,16.7433,-86.0715,10,4.6,mb,102,44,2.911,0.43,us,us7000i54l,2022-09-12T15:38:38.610Z,"37 km NNW of Guanaja, Honduras",earthquake,7.26,1.885,0.036,232,reviewed,us,us
2022-09-04T10:51:29.907Z,-24.8361,69.8414,10,4.5,mb,38,51,7.839,0.43,us,us7000i7dn,2022-09-13T05:25:05.040Z,"Mid-Indian Ridge",earthquake,6.79,1.819,0.104,27,reviewed,us,us
2022-09-04T09:42:18.219Z,-0.9339,-21.7155,10,6.9,mww,107,37,10.102,0.51,us,us7000i53f,2022-09-14T13:45:17.265Z,"central Mid-Atlantic Ridge",earthquake,8.62,1.248,0.035,78,reviewed,us,us
2022-09-04T08:52:13.492Z,-5.0652,102.8928,55.021,5.1,mb,99,35,0.703,0.55,us,us7000i531,2022-10-01T12:07:05.040Z,"121 km SSW of Pagar Alam, Indonesia",earthquake,6.03,5.87,0.053,114,reviewed,us,us
2022-09-04T06:46:17.106Z,37.8531,141.8176,59.671,4.7,mb,92,111,2.99,0.52,us,us7000i52i,2022-09-30T13:14:47.040Z,"77 km SE of Ishinomaki, Japan",earthquake,8.01,2.51,0.038,230,reviewed,us,us
2022-09-04T06:10:08.936Z,44.2446,149.0397,35,4.5,mb,87,134,4.639,0.44,us,us7000i52g,2022-09-30T12:40:26.040Z,"142 km SE of Kuril’sk, Russia",earthquake,9.49,1.896,0.061,78,reviewed,us,us
2022-09-04T04:32:15.693Z,19.2359,121.1033,35,4.5,mb,55,119,3.564,0.62,us,us7000i529,2022-09-30T22:04:33.040Z,"69 km N of Namuac, Philippines",earthquake,7.38,1.803,0.071,61,reviewed,us,us
2022-09-03T23:12:35.490Z,-7.3047,128.5511,146.386,4.6,mb,70,52,2.806,0.54,us,us7000i519,2022-09-22T04:02:02.040Z,"217 km NE of Lospalos, Timor Leste",earthquake,6.09,5.192,0.082,44,reviewed,us,us
2022-09-03T20:27:46.466Z,-31.8482,-68.6914,23.651,4.6,mb,49,112,0.457,1.33,us,us7000i4zi,2022-09-22T00:30:21.040Z,"20 km SSW of Pocito, Argentina",earthquake,6.16,5.203,0.119,21,reviewed,us,us
2022-09-03T20:22:29.050Z,-4.0064,133.7802,15.042,4.5,mb,25,80,1.872,0.7,us,us6000iigp,2022-09-21T23:54:36.040Z,"204 km WSW of Nabire, Indonesia",earthquake,4.32,5.339,0.139,15,reviewed,us,us
2022-09-03T19:51:44.087Z,-21.238,-68.8152,120.344,4.5,mb,69,49,0.657,0.87,us,us7000i4ym,2022-10-06T03:59:28.040Z,"135 km N of Calama, Chile",earthquake,3.19,4.991,0.075,52,reviewed,us,us
2022-09-03T19:17:21.661Z,68.1085,-18.5612,10,4.5,mb,116,46,2.673,0.62,us,us7000i4yk,2022-09-18T02:58:18.040Z,"218 km N of Siglufjörður, Iceland",earthquake,6.74,1.834,0.061,80,reviewed,us,us
2022-09-03T14:14:15.025Z,60.6508,-28.8919,10,4.5,mb,30,139,5.385,1.12,us,us6000iign,2022-09-18T16:12:59.040Z,"",earthquake,10.5,1.937,0.084,41,reviewed,us,us
2022-09-03T13:12:04.678Z,67.5572,142.3717,10,4.6,mb,65,69,6.238,0.64,us,us7000i4xm,2022-09-23T15:01:47.040Z,"193 km SW of Belaya Gora, Russia",earthquake,10.18,1.775,0.053,108,reviewed,us,us
2022-09-03T13:02:32.459Z,-14.0504,-72.7469,79.037,4.6,mb,33,106,4.487,0.92,us,us7000i4xi,2022-09-23T14:57:05.040Z,"central Peru",earthquake,8.44,7.481,0.063,74,reviewed,us,us
2022-09-03T11:35:43.997Z,-15.3324,167.501,119.768,4.7,mb,92,34,0.309,0.55,us,us7000i4x5,2022-09-30T11:18:23.040Z,"",earthquake,9.83,4.483,0.042,173,reviewed,us,us
2022-09-03T11:01:44.565Z,-14.6827,167.2648,164.808,4.8,mb,71,65,0.762,0.69,us,us7000i4x1,2022-09-30T07:23:40.040Z,"44 km NNE of Port-Olry, Vanuatu",earthquake,9.86,5.922,0.075,64,reviewed,us,us
2022-09-03T09:19:07.400Z,-0.0487,126.6531,56.655,4.6,mb,57,75,1.083,0.58,us,us7000i4wl,2022-09-30T05:49:49.040Z,"123 km SW of Ternate, Indonesia",earthquake,6.95,7.216,0.09,42,reviewed,us,us
2022-09-03T06:53:35.060Z,9.037,-83.8515,14.953,5.1,mww,86,146,0.64,0.94,us,us7000i4vy,2022-09-29T14:17:40.859Z,"37 km WNW of Ciudad Cortés, Costa Rica",earthquake,7.13,4.273,0.056,31,reviewed,us,us
2022-09-03T06:43:12.965Z,-18.4936,-177.9594,481.809,4.7,mb,95,42,3.66,0.81,us,us7000i4vv,2022-09-22T05:50:24.040Z,"Fiji region",earthquake,7.49,7.584,0.061,82,reviewed,us,us
2022-09-03T05:57:23.324Z,-14.9353,167.3078,121.659,4.8,mb,31,86,0.519,0.82,us,us7000i4vp,2022-09-22T05:30:31.823Z,"Vanuatu",earthquake,10.35,6.657,0.109,26,reviewed,us,us
2022-09-03T05:20:37.618Z,48.9059,154.8828,64.815,4.5,mb,84,135,4.568,0.51,us,us7000i4vk,2022-09-22T04:59:35.040Z,"216 km SSW of Severo-Kuril’sk, Russia",earthquake,10.95,8.146,0.065,69,reviewed,us,us
2022-09-03T04:36:20.356Z,56.7505,117.4842,10,4.7,mb,70,43,3.95,0.96,us,us7000i4v8,2022-09-30T21:39:27.530Z,"50 km W of Novaya Chara, Russia",earthquake,6.86,1.847,0.033,276,reviewed,us,us
2022-09-03T04:13:10.594Z,35.0593,26.3504,7.584,5.3,mww,125,25,0.823,0.75,us,us7000i4v6,2022-09-30T21:30:14.870Z,"17 km SSE of Palekastro, Greece",earthquake,5.09,3.187,0.045,48,reviewed,us,us
2022-09-03T02:54:51.333Z,35.7904,139.7805,92.167,4.6,mb,54,120,1.476,0.63,us,us7000i4ur,2022-09-30T20:54:37.040Z,"5 km SSW of S?ka, Japan",earthquake,6.61,5.818,0.116,24,reviewed,us,us
2022-09-03T02:16:48.474Z,47.6247,154.1404,46.702,4.9,mb,78,137,5.943,0.76,us,us7000i4up,2022-09-30T20:52:06.040Z,"Kuril Islands",earthquake,7.27,7.213,0.044,160,reviewed,us,us
2022-09-02T23:56:45.219Z,44.1648,149.1081,24.327,5.4,mb,130,76,4.69,0.67,us,us7000i4u0,2022-09-10T18:16:34.368Z,"",earthquake,8.78,3.773,0.024,576,reviewed,us,us
2022-09-02T23:41:13.822Z,44.2647,148.9533,19.218,4.8,mww,113,92,4.576,0.59,us,us7000i4ts,2022-09-10T17:29:54.040Z,"136 km SE of Kuril’sk, Russia",earthquake,8.72,3.29,0.093,11,reviewed,us,us
2022-09-02T22:39:51.673Z,-5.6512,148.707,126,6.1,mww,162,17,3.737,0.81,us,us7000i4st,2022-10-03T21:45:36.167Z,"111 km WNW of Kandrian, Papua New Guinea",earthquake,7.73,1.865,0.045,48,reviewed,us,us
2022-09-02T22:06:23.141Z,-29.7695,172.6512,10,4.8,mb,19,71,4.175,0.63,us,us6000iifh,2022-10-03T20:34:21.040Z,"Norfolk Island, Australia region",earthquake,8.56,1.784,0.154,13,reviewed,us,us
2022-09-02T20:24:39.797Z,35.3721,140.4709,24.65,4.5,mb,64,116,2.001,0.69,us,us7000i4s2,2022-09-28T22:27:57.417Z,"15 km NNE of ?hara, Japan",earthquake,5.02,3.712,0.094,40,reviewed,us,us
2022-09-02T20:15:02.766Z,-15.4801,-172.7456,10,4.7,mb,82,110,1.819,0.61,us,us7000i4s0,2022-09-28T22:27:33.040Z,"124 km ENE of Hihifo, Tonga",earthquake,8.49,1.828,0.059,92,reviewed,us,us
